iter	Passed	Remaining
468	743	841
469	744	839
470	745	837
471	746	834
472	746	832
473	747	829
474	748	827
475	749	824
476	750	822
477	751	820
478	752	818
479	753	816
480	754	813
481	754	811
482	755	808
483	756	806
484	757	804
485	758	802
486	759	799
487	760	797
488	761	795
489	762	793
490	763	791
491	763	788
492	764	786
493	766	784
494	767	782
495	768	780
496	769	778
497	769	776
498	770	773
499	771	771
500	772	769
501	773	767
502	774	765
503	775	762
504	776	760
505	776	758
506	777	756
507	778	754
508	779	752
509	780	750
510	781	748
511	782	745
512	783	743
513	784	741
514	785	739
515	785	737
516	786	734
517	787	732
518	788	730
519	789	728
520	790	726
521	790	724
522	791	722
523	792	719
524	793	717
525	794	716
526	795	714
527	796	712
528	797	710
529	798	708
530	799	705
531	800	703
532	800	701
533	801	699
534	802	697
535	803	695
536	804	693
537	805	691
538	805	689
539	806	687
540	807	685
541	808	683
542	817	688
543	822	689
544	826	689
545	828	688
546	830	687
547	831	686
548	833	685
549	835	683
550	836	681
551	837	679
552	839	678
553	840	676
554	841	674
555	842	673
556	844	671
557	845	669
558	846	667
559	847	665
560	848	663
561	848	661
562	849	659
563	850	657
564	851	655
565	852	653
566	853	651
567	854	649
568	855	647
569	856	645
570	857	643
571	858	642
572	858	640
573	859	637
574	860	635
575	861	633
576	868	637
577	874	638
578	878	638
579	880	637
580	882	636
581	885	635
582	886	634
583	888	632
584	890	631
585	891	629
586	892	627
587	893	626
588	895	624
589	896	622
590	897	621
591	898	619
592	900	617
593	901	616
594	902	614
595	903	612
596	904	610
597	905	608
598	906	607
599	907	605
600	908	603
601	909	601
602	910	599
603	911	597
604	912	595
605	913	593
606	914	592
607	915	590
608	916	588
609	917	586
610	917	584
611	918	582
612	919	580
613	928	583
614	933	584
615	935	583
616	938	582
617	940	581
618	941	579
619	943	578
620	945	577
621	947	575
622	949	574
623	950	572
624	952	571
625	953	569
626	954	567
627	955	566
628	957	564
629	958	563
630	960	561
631	960	559
632	962	557
633	963	556
634	964	554
635	965	552
636	966	550
637	967	548
638	967	546
639	968	544
640	969	543
641	970	541
642	971	539
643	972	537
644	973	535
645	978	536
646	985	537
647	990	537
648	992	536
649	995	536
650	997	534
651	999	533
652	1001	532
653	1003	530
654	1005	529
655	1007	528
656	1008	526
657	1009	524
658	1011	523
659	1012	521
660	1013	520
661	1015	518
662	1016	516
663	1017	514
664	1018	513
665	1020	511
666	1021	509
667	1022	508
668	1023	506
669	1024	504
670	1025	502
671	1026	500
672	1027	499
673	1027	497
674	1028	495
675	1029	493
676	1030	491
677	1031	489
678	1032	487
679	1034	486
680	1035	485
681	1036	483
682	1037	481
683	1038	479
684	1038	477
685	1039	475
686	1040	474
687	1041	472
688	1042	470
689	1043	468
690	1043	466
691	1044	465
692	1045	463
693	1046	461
694	1047	459
695	1049	458
696	1050	456
697	1050	454
698	1051	452
699	1052	451
700	1053	449
701	1061	450
702	1068	451
703	1071	450
704	1073	449
705	1075	447
706	1077	446
707	1079	445
708	1081	443
709	1082	442
710	1084	440
